Course Code,Course Name,Semester,Department,LTPSC,Credits,Instructor,Registered Students,Elective (Yes/No),Half Semester (Yes/No),Combined class,Pre /Post,Basket Code
MA161,Statistics,1,CSE,3-1-0-0-2,2,Ramesh Athe,200,No,Yes,yes ,Pre,
DS161,Introduction to Dsai,1,CSE,3-1-0-0-2,2,Abdul Wahid,200,No,Yes,yes,Pre,
MA162,Probability,1,CSE,3-1-0-0-2,2,Chinmayananda,200,No,Yes,yes,Post,
EC161,Digital Design,1,CSE,3-0-2-0-2,2,Prakash Pawar,200,No,Yes,yes,Post,
CS161,Problem Solving with python,1,CSE,3-0-2-0-4,4,"Sunil P V, Sunil C K, Animesh Roy",200,No,No,no,full,
HS161,English Language and communication,1,CSE,3-0-0-0-3,3,Rajesh N S,200,No,No,no,full,
PH151,Introduction to Physics,1,CSE,2-0-0-0-2,2,"Ravishankar, Vivekraj",0,Yes,Yes,no,elective,A
DS151,Linux for Engineers,1,CSE,2-0-0-0-2,2,Vivekraj,0,Yes,Yes,no,elective,A
CS101,Fundamentals of Computing,1,CSE,2-0-0-0-2,2,Mallikarjun Kande,0,Yes,Yes,no,elective,A
HS157,Computational Thinking,1,CSE,1-0-0-0-1,1,Chandrika Kamat,0,Yes,No,no,elective,A
HS102,Kannada Kali-Nali,1,CSE,2-0-0-0-2,2,Anand B,0,Yes,Yes,no,elective,A
HS103,Leveraging IT for Better Life,1,CSE,2-0-0-0-2,2,Rajesh N S,0,Yes,Yes,no,elective,A
DE101,Basics of Design,1,CSE,2-0-0-0-2,2,Sandesh P,0,Yes,Yes,no,elective,A
HS156,Holistic Personality Development,1,CSE,1-0-0-0-1,1,Rajesh N S,0,Yes,No,no,elective,A
CS151,Introduction to C Programming,1,CSE,2-0-0-0-2,2,Girish Revadigar,0,Yes,Yes,no,elective,A
MA261,Differential Equations,3,CSE,3-1-0-0-2,2,Anand B,200,No,Yes,yes,Pre,
MA262,Multivariable Calculus,3,CSE,3-1-0-0-2,2,Somen B,200,No,Yes,yes,Post,
CS261,Operating systems,3,CSE,3-0-0-4-2,2,Suvadip Hazra,200,No,Yes,no,Pre,
CS262,Software design,3,CSE,2-0-2-0-3,3,"Sunil P V, Vivekraj",200,No,No,no,full,
CS263,Design & Analysis of Algorithms,3,CSE,3-0-2-0-4,4,"Malay, Pramod",200,No,No,no,full,
CS264,Computer Networks,3,CSE,3-1-0-0-4,4,Prabhu Prasad B M,200,No,No,no,full,
HS261,HSS (Ethics),3,CSE,2-1-0-0-3,2,Ganesh,0,Yes,No,yes,full,
EC251,Electronics Design,3,CSE,2-0-0-0-2,2,Pankaj Kumar,0,Yes,Yes,no,elective,A
EC252,Introduction of Communication,3,CSE,2-0-0-0-2,2,Rajesh Kumar,0,Yes,Yes,no,elective,A
CS253,Introduction to AI,3,CSE,2-0-0-0-2,2,Sibasankar Padhy,0,Yes,Yes,no,elective,A
EC254,Electronic Systems,3,CSE,2-0-0-0-2,2,Mallikarjun Kande,0,Yes,Yes,no,elective,A
CS152,Data Science with Python,3,CSE,2-0-0-0-2,2,Abdul Wahid,0,Yes,Yes,no,elective,A
ASD352,User Interaction,3,CSE,3-1-0-0-4,4,Sandesh P,0,Yes,No,no,elective,A
CS251,2D Computer Graphics,3,CSE,2-0-0-0-2,2,Vivekraj,0,Yes,Yes,no,elective,A
CS309,Statistics for CS,5,CSE,3-1-0-0-4,4,"Sunil C K, Pavan Kumar",0,No,No,no,full,
CS303,Computer Networks,5,CSE,3-1-2-0-5,5,"Animesh Roy, Dibyajyothi",0,No,No,no,full,
CS304,Artificial Intelligence,5,CSE,3-1-0-0-4,4,"Krishnendu, Girish Revadigar",0,No,No,no,full,
HS101,Environmental Studies,5,CSE,0-0-0-8-2,2,TBD,0,No,Yes,no,full,
CS463,Parallel computing,5,CSE,3-1-0-0-4,4,Pramod,0,Yes,No,no,basket,A
CS308,Compiler Design,5,CSE,3-1-0-0-4,4,Pavan Kumar,0,Yes,No,no,basket,A
